"","iteraciones","distancia","masa"
"1299",49,0.000203504849609131,"26"
"1300",50,4.4460414591984e-05,"104"
"1301",1,0.00672750990153339,"1"
"1302",2,0.00019544297986733,"20"
"1303",3,0.000130413597986773,"24"
"1304",4,0.000121558453024638,"24"
"1305",5,0.000364476740265639,"10"
"1306",6,0.000176051876850538,"96"
"1307",7,0.000611285296695382,"15"
"1308",8,0.000172129543762863,"52"
"1309",9,7.21635925087017e-05,"86"
"1310",10,0.0008289778902715,"10"
"1311",11,0.000270429605925455,"58"
"1312",12,0.000158458890398345,"47"
"1313",13,0.00094231106876193,"4"
"1314",14,8.19727142528703e-05,"75"
"1315",15,0.000169279733883621,"20"
"1316",16,0.000426022793661728,"29"
"1317",17,0.000159694999439367,"69"
"1318",18,0.000215508543653058,"61"
"1319",19,0.000168407539720881,"60"
"1320",20,2.69404973882197e-05,"52"
"1321",21,8.45084096305259e-05,"27"
"1322",22,0.00113200899233804,"5"
"1323",23,0.0010433039442944,"4"
"1324",24,8.08437145308133e-05,"10"
"1325",25,0.000248766488683849,"7"
"1326",26,0.000109774434252526,"24"
"1327",27,0.000320104969740849,"35"
"1328",28,0.000579904906189065,"14"
"1329",29,0.000527040054805869,"22"
"1330",30,0.000231252343050962,"52"
"1331",31,0.000192338006958514,"77"
"1332",32,3.66994049691757e-05,"49"
"1333",33,3.80561243964356e-05,"24"
"1334",34,0.00021471413174012,"27"
"1335",35,0.000551821685960565,"20"
"1336",36,8.84148563190937e-05,"158"
"1337",37,3.63508190198264e-05,"136"
"1338",38,0.000143890662902169,"48"
"1339",39,0.000194109803450106,"105"
"1340",40,0.000189027139384667,"21"
"1341",41,0.00166341742548264,"2"
"1342",42,0.0002202287708548,"45"
"1343",43,1.17846636533633e-05,"42"
"1344",44,0.000267977977308495,"59"
"1345",45,0.000148636680398728,"69"
"1346",46,0.000167634413457471,"40"
"1347",47,0.000249260928380399,"62"
"1348",48,0.000216471050411424,"10"
"1349",49,0.000203601209725901,"26"
"1350",50,4.46036493590316e-05,"104"
"1351",1,0.0066993704430083,"1"
"1352",2,0.00019572665031811,"20"
"1353",3,0.000129724730321752,"24"
"1354",4,0.000121452602501727,"24"
"1355",5,0.000363397049943141,"10"
"1356",6,0.000175945863533069,"96"
"1357",7,0.000611544718336269,"15"
"1358",8,0.000172236468428696,"52"
"1359",9,7.22295959734516e-05,"86"
"1360",10,0.000829393743244704,"10"
"1361",11,0.000269971658096545,"58"
"1362",12,0.000158597915011597,"47"
"1363",13,0.00094390753839013,"4"
"1364",14,8.21458871156513e-05,"75"
"1365",15,0.000169421460993745,"20"
"1366",16,0.000426030868998923,"29"
"1367",17,0.000159759212057114,"69"
"1368",18,0.000215660493816928,"61"
"1369",19,0.000168619239221356,"60"
"1370",20,2.66684924242377e-05,"52"
"1371",21,8.48256628537384e-05,"27"
"1372",22,0.00113307854257913,"5"
"1373",23,0.00104207646488131,"4"
"1374",24,8.08645882739903e-05,"10"
"1375",25,0.000248854841237736,"7"
"1376",26,0.000109923389942026,"24"
"1377",27,0.00032010733606961,"35"
"1378",28,0.000578252664402067,"14"
"1379",29,0.00052710202759179,"22"
"1380",30,0.000231431644604834,"52"
"1381",31,0.00019226349803017,"77"
"1382",32,3.64131399010993e-05,"49"
"1383",33,3.81424390092659e-05,"24"
"1384",34,0.000214937830784063,"27"
"1385",35,0.000551986895604747,"20"
"1386",36,8.85055942138504e-05,"158"
"1387",37,3.64842051380615e-05,"136"
"1388",38,0.000143943519887622,"48"
"1389",39,0.000194097034095646,"105"
"1390",40,0.000189176051577261,"21"
"1391",41,0.00162457657490476,"2"
"1392",42,0.0002203831429993,"45"
"1393",43,1.22493175743451e-05,"42"
"1394",44,0.000268150944214743,"59"
"1395",45,0.000148872582547291,"69"
"1396",46,0.000168063581047767,"40"
"1397",47,0.000248485907690285,"62"
"1398",48,0.000215886494375865,"10"
"1399",49,0.000203698899799894,"26"
"1400",50,4.47543814266428e-05,"104"
"1401",1,0.00665096228914936,"1"
"1402",2,0.00019601400183284,"20"
"1403",3,0.000129141341018428,"24"
"1404",4,0.00012132333121917,"24"
"1405",5,0.000362330365334554,"10"
"1406",6,0.000175850891547894,"96"
"1407",7,0.000611808287459671,"15"
"1408",8,0.000172344845599952,"52"
"1409",9,7.23038113314879e-05,"86"
"1410",10,0.000829840636171384,"10"
"1411",11,0.000269508765657372,"58"
"1412",12,0.000158735272281708,"47"
"1413",13,0.000945528955956035,"4"
"1414",14,8.2322440733953e-05,"75"
"1415",15,0.000169564754156385,"20"
"1416",16,0.000426041962598916,"29"
"1417",17,0.000159824644033809,"69"
"1418",18,0.000215811033008708,"61"
"1419",19,0.000168830447680879,"60"
"1420",20,2.64061545066916e-05,"52"
"1421",21,8.51427385009103e-05,"27"
"1422",22,0.0011342268412143,"5"
"1423",23,0.00104086977549569,"4"
"1424",24,8.08858120587341e-05,"10"
"1425",25,0.000248945343385586,"7"
"1426",26,0.000110071596127074,"24"
"1427",27,0.000320112807362064,"35"
"1428",28,0.000576588180276842,"14"
"1429",29,0.000527166305328346,"22"
"1430",30,0.000231607844542598,"52"
"1431",31,0.000192189564662043,"77"
"1432",32,3.61234663256057e-05,"49"
"1433",33,3.82331437473367e-05,"24"
"1434",34,0.000215161270368204,"27"
"1435",35,0.000552158404485693,"20"
"1436",36,8.85972621781951e-05,"158"
"1437",37,3.66205269364084e-05,"136"
"1438",38,0.000143998064060501,"48"
"1439",39,0.000194085319154034,"105"
"1440",40,0.000189326535552126,"21"
"1441",41,0.00158769982772943,"2"
"1442",42,0.000220539225280346,"45"
"1443",43,1.27702031739577e-05,"42"
"1444",44,0.000268323670691064,"59"
"1445",45,0.000149105902908007,"69"
"1446",46,0.00016848753219814,"40"
"1447",47,0.000247907310060554,"62"
"1448",48,0.000215306376357454,"10"
"1449",49,0.000203797858785164,"26"
"1450",50,4.49123333106682e-05,"104"
"1451",1,0.00658491193474233,"1"
"1452",2,0.000196304936778884,"20"
"1453",3,0.000128648309002587,"24"
"1454",4,0.000121160882149894,"24"
"1455",5,0.000361282710516365,"10"
"1456",6,0.000175767048581539,"96"
"1457",7,0.000612075793424748,"15"
"1458",8,0.000172454663401461,"52"
"1459",9,7.23865873815738e-05,"86"
"1460",10,0.00083031852790945,"10"
"1461",11,0.000269042196366313,"58"
"1462",12,0.000158870191566811,"47"
"1463",13,0.000947174802608668,"4"
"1464",14,8.25015978858895e-05,"75"
"1465",15,0.000169709510917029,"20"
"1466",16,0.000426056002800974,"29"
"1467",17,0.000159891235223255,"69"
"1468",18,0.000215959901054268,"61"
"1469",19,0.000169040790549612,"60"
"1470",20,2.61532160138222e-05,"52"
"1471",21,8.54597282140241e-05,"27"
"1472",22,0.0011354455655796,"5"
