"","iteraciones","distancia","masa"
"127",27,0.000223316850820352,"59"
"128",28,0.000265375449399017,"28"
"129",29,0.000286278028687701,"36"
"130",30,0.000292384860101292,"21"
"131",31,0.000284040875660713,"46"
"132",32,0.000512947886114376,"16"
"133",33,0.000236868577885805,"45"
"134",34,0.000796140863135179,"8"
"135",35,0.000469023747655494,"23"
"136",36,0.00310385780042202,"2"
"137",37,0.000525029867536258,"21"
"138",38,0.000260427281232192,"67"
"139",39,0.000242322849677013,"92"
"140",40,0.00214712152038858,"1"
"141",41,0.000386912336618263,"21"
"142",42,0.000184575447611684,"58"
"143",43,0.000513780974435363,"19"
"144",44,0.000210437691644254,"73"
"145",45,0.000272682066885916,"33"
"146",46,0.00020336417624052,"87"
"147",47,0.00024339448985989,"51"
"148",48,0.00395927591093052,"2"
"149",49,0.000324728553127105,"45"
"150",50,0.000194538007819747,"56"
"151",1,0.000152124609472292,"128"
"152",2,0.000390856937474112,"26"
"153",3,0.00023117677070105,"13"
"154",4,0.000552216778576894,"15"
"155",5,0.000249917038812133,"57"
"156",6,0.000428133849845271,"54"
"157",7,0.000288395919234767,"20"
"158",8,0.00031130522289085,"47"
"159",9,0.000246237671452734,"59"
"160",10,0.00187436894845778,"2"
"161",11,0.000103901064387285,"74"
"162",12,0.0004679769779266,"19"
"163",13,0.000299388790854359,"48"
"164",14,0.00032548019381352,"22"
"165",15,0.000536999507768247,"9"
"166",16,0.000187869037641821,"95"
"167",17,0.000274081472952808,"45"
"168",18,0.00032484859637907,"42"
"169",19,0.000262424021185693,"17"
"170",20,0.000299070419130172,"43"
"171",21,0.000551081318998952,"8"
"172",22,0.000215262135076777,"57"
"173",23,0.000184326194527846,"91"
"174",24,0.000257059205874267,"14"
"175",25,0.000276123055924198,"39"
"176",26,0.000172381638304057,"49"
"177",27,0.000222392903033319,"59"
"178",28,0.000264577814912369,"28"
"179",29,0.000285847558422365,"36"
"180",30,0.000290356434659251,"21"
"181",31,0.000283565669943778,"46"
"182",32,0.000512207300474013,"16"
"183",33,0.000236813663354477,"45"
"184",34,0.000794982235644011,"8"
"185",35,0.000468301454299037,"23"
"186",36,0.00309629348222669,"2"
"187",37,0.000523509695214992,"21"
"188",38,0.000259784448774606,"67"
"189",39,0.000242310561435753,"92"
"190",40,0.00212126943125985,"1"
"191",41,0.000386442089726267,"21"
"192",42,0.000183976648389132,"58"
"193",43,0.000512770407025725,"19"
"194",44,0.000209557267490256,"73"
"195",45,0.000272492039337166,"33"
"196",46,0.000202975983465109,"87"
"197",47,0.000242421967460647,"51"
"198",48,0.00397258515322568,"2"
"199",49,0.00032434248692892,"45"
"200",50,0.000193898010731885,"56"
"201",1,0.000151385859725302,"128"
"202",2,0.000389944442992093,"26"
"203",3,0.000229794904690221,"13"
"204",4,0.000551134714695263,"15"
"205",5,0.000248955185145893,"57"
"206",6,0.000427617310451238,"54"
"207",7,0.000287964488794205,"20"
"208",8,0.000310811952796649,"47"
"209",9,0.000245321066970535,"59"
"210",10,0.00187209648777853,"2"
"211",11,0.000104284513147633,"74"
"212",12,0.000467016426597427,"19"
"213",13,0.000298994073435307,"48"
"214",14,0.000325130115941869,"22"
"215",15,0.000532561575001627,"9"
"216",16,0.000187324097892586,"95"
"217",17,0.000273080776274936,"45"
"218",18,0.000324542028127441,"42"
"219",19,0.000261783523539384,"17"
"220",20,0.000298642078211329,"43"
"221",21,0.000549995197640356,"8"
"222",22,0.000214863779058723,"57"
"223",23,0.000183304319608526,"91"
