"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"V30",700,1,26,27,700,2,45,0,700,3,46,0,700,4,47,0,700,5,86,0,700,6,95,0,700,7,65,0,700,8,113,0,200,1,11,9,200,2,21,2,200,3,36,1,200,4,13,0,200,5,40,0,200,6,30,0,200,7,19,0,200,8,31,2,500,1,20,28,500,2,27,2,500,3,52,0,500,4,39,0,500,5,41,0,500,6,44,0,500,7,37,0,500,8,73,0
"V31",700,1,35,11,700,2,63,1,700,3,71,0,700,4,69,0,700,5,67,0,700,6,76,1,700,7,62,0,700,8,66,0,200,1,24,9,200,2,18,0,200,3,37,0,200,4,17,0,200,5,32,0,200,6,32,0,200,7,43,0,200,8,44,0,500,1,19,23,500,2,31,7,500,3,25,0,500,4,46,0,500,5,52,0,500,6,57,0,500,7,51,0,500,8,53,0
"V32",700,1,18,59,700,2,19,1,700,3,23,0,700,4,49,0,700,5,58,0,700,6,68,0,700,7,75,0,700,8,67,0,200,1,23,9,200,2,28,0,200,3,37,0,200,4,22,0,200,5,30,0,200,6,37,0,200,7,32,0,200,8,39,0,500,1,25,29,500,2,22,0,500,3,47,0,500,4,41,1,500,5,35,0,500,6,71,0,500,7,60,0,500,8,49,0
"V33",700,1,33,20,700,2,68,1,700,3,64,0,700,4,61,0,700,5,67,0,700,6,33,0,700,7,59,0,700,8,66,0,200,1,21,3,200,2,13,0,200,3,20,0,200,4,31,0,200,5,28,0,200,6,40,0,200,7,43,0,200,8,23,0,500,1,27,6,500,2,42,2,500,3,53,0,500,4,20,0,500,5,44,0,500,6,70,0,500,7,65,0,500,8,47,0
"V34",700,1,13,58,700,2,23,2,700,3,31,0,700,4,98,4,700,5,43,0,700,6,41,0,700,7,114,0,700,8,66,0,200,1,15,2,200,2,14,7,200,3,30,0,200,4,20,0,200,5,13,1,200,6,25,0,200,7,41,0,200,8,30,0,500,1,53,11,500,2,19,2,500,3,62,0,500,4,59,0,500,5,45,0,500,6,29,0,500,7,46,1,500,8,63,0
"V35",700,1,19,37,700,2,23,2,700,3,37,0,700,4,64,0,700,5,68,0,700,6,58,0,700,7,84,0,700,8,47,0,200,1,24,0,200,2,19,0,200,3,29,0,200,4,26,0,200,5,32,0,200,6,21,0,200,7,34,0,200,8,30,0,500,1,25,18,500,2,35,4,500,3,41,1,500,4,28,0,500,5,53,0,500,6,54,1,500,7,62,0,500,8,52,0
"V36",700,1,40,35,700,2,37,0,700,3,36,5,700,4,62,0,700,5,42,0,700,6,72,0,700,7,62,0,700,8,53,1,200,1,17,18,200,2,23,0,200,3,36,0,200,4,23,1,200,5,19,1,200,6,24,0,200,7,18,0,200,8,38,0,500,1,24,34,500,2,17,4,500,3,33,3,500,4,35,0,500,5,29,0,500,6,44,0,500,7,38,0,500,8,66,0
"V37",700,1,35,14,700,2,22,2,700,3,54,0,700,4,36,0,700,5,46,0,700,6,63,0,700,7,64,0,700,8,45,0,200,1,17,5,200,2,23,2,200,3,31,0,200,4,40,1,200,5,20,0,200,6,29,0,200,7,32,0,200,8,33,0,500,1,33,0,500,2,35,1,500,3,27,0,500,4,41,0,500,5,27,1,500,6,42,0,500,7,40,1,500,8,51,0
"V38",700,1,22,37,700,2,43,1,700,3,50,0,700,4,74,0,700,5,76,0,700,6,76,0,700,7,70,0,700,8,49,0,200,1,22,3,200,2,13,0,200,3,20,0,200,4,43,0,200,5,32,0,200,6,42,0,200,7,30,1,200,8,35,0,500,1,34,13,500,2,39,0,500,3,52,0,500,4,19,0,500,5,54,0,500,6,41,0,500,7,50,0,500,8,66,0
"V39",700,1,46,16,700,2,36,0,700,3,63,0,700,4,50,0,700,5,63,0,700,6,81,0,700,7,99,0,700,8,66,0,200,1,31,1,200,2,18,2,200,3,16,0,200,4,25,0,200,5,28,1,200,6,23,0,200,7,33,0,200,8,27,1,500,1,20,24,500,2,33,6,500,3,43,0,500,4,37,0,500,5,51,0,500,6,42,0,500,7,67,0,500,8,45,0
"V40",700,1,35,25,700,2,58,0,700,3,59,1,700,4,44,0,700,5,54,1,700,6,59,2,700,7,70,0,700,8,90,0,200,1,15,8,200,2,20,0,200,3,27,0,200,4,28,0,200,5,37,0,200,6,27,1,200,7,27,0,200,8,32,0,500,1,25,9,500,2,37,1,500,3,47,0,500,4,38,0,500,5,64,0,500,6,50,0,500,7,54,0,500,8,41,0
"V41",700,1,40,22,700,2,54,1,700,3,41,0,700,4,70,0,700,5,54,0,700,6,73,0,700,7,83,0,700,8,58,0,200,1,23,0,200,2,11,9,200,3,27,0,200,4,16,0,200,5,29,0,200,6,26,0,200,7,28,0,200,8,41,0,500,1,26,19,500,2,22,0,500,3,83,0,500,4,58,0,500,5,54,1,500,6,50,0,500,7,53,1,500,8,42,0
"V42",700,1,56,5,700,2,58,1,700,3,45,1,700,4,47,0,700,5,38,0,700,6,50,0,700,7,56,0,700,8,42,0,200,1,10,20,200,2,23,0,200,3,24,0,200,4,27,0,200,5,24,0,200,6,28,0,200,7,26,0,200,8,32,0,500,1,25,14,500,2,33,1,500,3,50,2,500,4,46,0,500,5,58,0,500,6,48,0,500,7,59,0,500,8,67,0
"V43",700,1,17,41,700,2,22,0,700,3,52,1,700,4,37,0,700,5,52,0,700,6,55,1,700,7,64,0,700,8,46,0,200,1,13,5,200,2,13,6,200,3,26,1,200,4,20,0,200,5,29,1,200,6,52,0,200,7,33,0,200,8,31,2,500,1,29,7,500,2,15,7,500,3,34,1,500,4,44,0,500,5,47,0,500,6,47,0,500,7,46,0,500,8,44,0
"V44",700,1,41,14,700,2,48,0,700,3,37,2,700,4,51,0,700,5,58,0,700,6,77,0,700,7,71,0,700,8,82,0,200,1,16,1,200,2,17,4,200,3,36,0,200,4,34,0,200,5,30,0,200,6,34,0,200,7,31,0,200,8,35,0,500,1,24,28,500,2,20,0,500,3,52,0,500,4,42,0,500,5,37,0,500,6,51,0,500,7,57,0,500,8,46,0
"V45",700,1,41,5,700,2,35,0,700,3,37,0,700,4,33,0,700,5,72,0,700,6,73,0,700,7,81,0,700,8,46,0,200,1,15,10,200,2,31,0,200,3,18,3,200,4,50,0,200,5,29,0,200,6,28,0,200,7,16,1,200,8,35,0,500,1,22,13,500,2,33,1,500,3,27,0,500,4,69,0,500,5,62,1,500,6,48,0,500,7,46,0,500,8,48,0
"V46",700,1,18,44,700,2,55,0,700,3,85,0,700,4,50,0,700,5,54,0,700,6,58,0,700,7,55,0,700,8,70,0,200,1,14,12,200,2,23,1,200,3,27,0,200,4,31,0,200,5,32,0,200,6,28,0,200,7,28,0,200,8,26,0,500,1,23,16,500,2,52,3,500,3,40,1,500,4,73,0,500,5,42,0,500,6,42,0,500,7,60,0,500,8,45,0
"V47",700,1,16,39,700,2,39,0,700,3,39,0,700,4,62,0,700,5,60,0,700,6,77,1,700,7,96,0,700,8,69,0,200,1,20,4,200,2,21,0,200,3,25,2,200,4,42,0,200,5,31,0,200,6,37,0,200,7,29,1,200,8,26,0,500,1,31,20,500,2,33,1,500,3,25,1,500,4,59,0,500,5,41,0,500,6,48,0,500,7,50,0,500,8,68,0
"V48",700,1,21,36,700,2,37,1,700,3,29,2,700,4,41,0,700,5,44,0,700,6,60,0,700,7,75,0,700,8,56,0,200,1,16,1,200,2,20,1,200,3,15,0,200,4,27,0,200,5,27,0,200,6,36,0,200,7,29,0,200,8,29,0,500,1,21,31,500,2,36,4,500,3,48,1,500,4,58,0,500,5,60,0,500,6,38,0,500,7,30,0,500,8,55,0
"V49",700,1,36,7,700,2,33,1,700,3,46,1,700,4,49,0,700,5,52,0,700,6,79,0,700,7,49,0,700,8,68,0,200,1,32,1,200,2,17,4,200,3,19,0,200,4,36,0,200,5,22,0,200,6,44,0,200,7,24,0,200,8,25,0,500,1,56,10,500,2,19,5,500,3,27,0,500,4,37,0,500,5,58,0,500,6,58,0,500,7,41,0,500,8,58,0
"V50",700,1,21,3,700,2,48,0,700,3,54,1,700,4,59,0,700,5,58,0,700,6,48,0,700,7,52,0,700,8,88,0,200,1,13,6,200,2,10,2,200,3,19,0,200,4,29,0,200,5,26,0,200,6,24,1,200,7,28,0,200,8,54,0,500,1,30,9,500,2,27,2,500,3,41,0,500,4,42,0,500,5,43,0,500,6,40,0,500,7,55,0,500,8,44,0
"V51",700,1,63,4,700,2,51,3,700,3,29,0,700,4,42,0,700,5,66,0,700,6,57,0,700,7,46,0,700,8,62,0,200,1,20,10,200,2,16,0,200,3,16,1,200,4,34,1,200,5,28,0,200,6,23,0,200,7,37,0,200,8,38,0,500,1,40,6,500,2,40,2,500,3,49,0,500,4,43,0,500,5,44,0,500,6,45,0,500,7,43,0,500,8,71,0
"V52",700,1,50,27,700,2,50,2,700,3,95,0,700,4,72,1,700,5,62,0,700,6,58,0,700,7,70,0,700,8,80,0,200,1,9,11,200,2,18,0,200,3,14,1,200,4,24,0,200,5,23,0,200,6,26,0,200,7,40,0,200,8,38,0,500,1,25,3,500,2,62,2,500,3,35,0,500,4,65,0,500,5,52,1,500,6,64,0,500,7,45,0,500,8,55,1
"V53",700,1,28,26,700,2,52,1,700,3,58,3,700,4,57,0,700,5,42,1,700,6,86,0,700,7,80,0,700,8,89,1,200,1,10,21,200,2,18,0,200,3,20,1,200,4,35,0,200,5,26,0,200,6,33,0,200,7,31,0,200,8,36,0,500,1,23,9,500,2,22,0,500,3,45,0,500,4,46,0,500,5,56,0,500,6,84,1,500,7,33,0,500,8,55,0
"V54",700,1,23,35,700,2,18,3,700,3,26,0,700,4,57,0,700,5,46,0,700,6,79,0,700,7,108,0,700,8,81,0,200,1,11,16,200,2,15,6,200,3,38,0,200,4,45,0,200,5,27,0,200,6,32,0,200,7,28,0,200,8,32,0,500,1,29,1,500,2,33,1,500,3,54,1,500,4,64,1,500,5,41,1,500,6,44,0,500,7,66,0,500,8,57,0
"V55",700,1,18,32,700,2,42,1,700,3,53,1,700,4,86,0,700,5,57,0,700,6,66,0,700,7,67,0,700,8,80,0,200,1,13,17,200,2,23,1,200,3,32,0,200,4,48,0,200,5,23,0,200,6,23,0,200,7,27,0,200,8,35,0,500,1,26,26,500,2,14,3,500,3,41,0,500,4,31,1,500,5,62,1,500,6,62,0,500,7,72,1,500,8,48,0
"V56",700,1,54,14,700,2,31,2,700,3,52,0,700,4,32,0,700,5,80,0,700,6,61,0,700,7,58,0,700,8,77,1,200,1,15,8,200,2,24,0,200,3,29,1,200,4,30,0,200,5,40,1,200,6,36,0,200,7,29,0,200,8,27,2,500,1,62,3,500,2,23,5,500,3,24,0,500,4,57,0,500,5,43,0,500,6,35,0,500,7,64,0,500,8,73,0
