"","Pasos","Dimension","Valor M","Tiempo"
"V225","50","6",12,0.00080108642578125
"V235","50","6",18,0.000893115997314453
"V245","50","6",16,0.00142312049865723
"V255","50","6",11,0.00145292282104492
"V265","50","6",13,0.00139594078063965
"V275","50","6",20,0.00313496589660645
"V285","50","6",13,0.00140905380249023
"V295","50","6",21,0.00122714042663574
"V305","50","6",13,0.000871181488037109
"V319","50","6",16,0.00078892707824707
"V325","50","6",8,0.000781059265136719
"V335","50","6",18,0.000793933868408203
"V345","50","6",15,0.00144481658935547
"V355","50","6",21,0.00142693519592285
"V365","50","6",8,0.00146198272705078
"V375","50","6",15,0.00141000747680664
"V385","50","6",16,0.00142502784729004
"V395","50","6",18,0.00205111503601074
"V405","50","6",22,0.000805854797363281
"V419","50","6",8,0.000807046890258789
"V425","50","6",22,0.00101399421691895
"V435","50","6",17,0.00137090682983398
"V445","50","6",14,0.0013890266418457
"V455","50","6",14,0.00138211250305176
"V465","50","6",21,0.00136494636535645
"V475","50","6",18,0.00135517120361328
"V485","50","6",11,0.00139594078063965
"V495","50","6",14,0.00138497352600098
"V505","50","6",12,0.00138592720031738
"V519","50","6",14,0.00103211402893066
"V525","50","6",15,0.000802993774414062
"V535","50","6",10,0.000792026519775391
"V545","50","6",12,0.00115609169006348
"V555","50","6",18,0.00316905975341797
"V565","50","6",16,0.00140810012817383
"V575","50","6",16,0.000917911529541016
"V585","50","6",16,0.000796079635620117
"V595","50","6",12,0.000792026519775391
"V605","50","6",15,0.000792026519775391
"V619","50","6",13,0.00131988525390625
"V625","50","6",14,0.00139093399047852
"V635","50","6",8,0.00139594078063965
"V645","50","6",12,0.000802993774414062
"V655","50","6",15,0.000811100006103516
"V665","50","6",19,0.000806093215942383
"V675","50","6",13,0.000789880752563477
"V685","50","6",12,0.00144100189208984
"V695","50","6",16,0.00143599510192871
"V705","50","6",16,0.000945091247558594
"V719","50","6",18,0.000813007354736328
"V725","50","6",13,0.000809907913208008
"V735","50","6",20,0.000806093215942383
"V745","50","6",19,0.000808954238891602
"V755","50","6",15,0.00433993339538574
"V765","50","6",14,0.00102114677429199
"V775","50","6",12,0.000813961029052734
"V785","50","6",12,0.00191998481750488
"V795","50","6",15,0.000999927520751953
"V805","50","6",25,0.000792980194091797
"V819","50","6",13,0.000787973403930664
