"","Pasos","Dimension","Valor M","Tiempo"
"160","500","2",18,0.00909304618835449
"161","500","2",43,0.00905799865722656
"162","500","2",24,0.0104179382324219
"163","500","2",37,0.0101168155670166
"164","500","2",30,0.00782012939453125
"165","500","2",30,0.0120968818664551
"166","500","2",30,0.00787997245788574
"167","500","2",41,0.00777602195739746
"168","500","2",23,0.00769519805908203
"169","500","2",26,0.00764894485473633
"170","500","2",49,0.0129649639129639
"171","500","2",53,0.00789093971252441
"172","500","2",29,0.00768685340881348
"173","500","2",16,0.0077359676361084
"174","500","2",38,0.0113930702209473
"175","500","2",40,0.00771188735961914
"176","500","2",26,0.00762391090393066
"177","500","2",44,0.00768208503723145
"178","500","2",28,0.0077359676361084
"179","500","2",24,0.0123059749603271
"180","500","2",46,0.00778484344482422
"181","500","2",26,0.00775504112243652
"182","500","2",23,0.00784492492675781
"183","500","2",36,0.00795292854309082
"184","500","2",31,0.00790190696716309
"185","500","2",18,0.0114169120788574
"186","500","2",32,0.00935196876525879
"187","500","2",26,0.00775980949401855
"188","500","2",52,0.0125360488891602
"189","500","2",10,0.00785303115844727
"190","500","2",42,0.00773406028747559
"191","500","2",35,0.0266151428222656
"192","500","2",30,0.00966715812683105
"193","500","2",34,0.0112378597259521
"194","500","2",30,0.00789713859558105
"195","500","2",25,0.00762104988098145
"196","500","2",25,0.00770092010498047
"197","500","2",33,0.00853991508483887
"198","500","2",32,0.00800895690917969
"199","500","2",30,0.00847721099853516
"200","500","2",48,0.0148079395294189
"201","500","3",39,0.00789213180541992
"202","500","3",37,0.00829696655273438
"203","500","3",33,0.00885319709777832
"204","500","3",46,0.00786399841308594
"205","500","3",21,0.00860905647277832
"206","500","3",34,0.00797700881958008
"207","500","3",41,0.00794696807861328
"208","500","3",54,0.00796198844909668
"209","500","3",37,0.0181090831756592
"210","500","3",40,0.00965499877929688
"211","500","3",33,0.00794410705566406
"212","500","3",41,0.00844597816467285
"213","500","3",35,0.0105190277099609
"214","500","3",33,0.0107839107513428
"215","500","3",17,0.00801706314086914
"216","500","3",46,0.00794506072998047
"217","500","3",22,0.0154120922088623
"218","500","3",36,0.00786805152893066
"219","500","3",28,0.00801897048950195
"220","500","3",43,0.0121560096740723
"221","500","3",40,0.00834202766418457
"222","500","3",32,0.00798296928405762
"223","500","3",28,0.00782012939453125
"224","500","3",37,0.00784707069396973
"225","500","3",45,0.0129010677337646
"226","500","3",61,0.0141079425811768
"227","500","3",62,0.00803399085998535
"228","500","3",44,0.00805401802062988
"229","500","3",33,0.0078279972076416
"230","500","3",56,0.00832414627075195
"231","500","3",28,0.00801301002502441
"232","500","3",57,0.00856995582580566
"233","500","3",34,0.0125899314880371
"234","500","3",24,0.00823712348937988
